[2025-03-20 12:38:40,320] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,378] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:40,429] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,463] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,516] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30119 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,550] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778976 bit
[2025-03-20 12:38:40,585] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:40,675] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30115 | Distance:   54.94 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:40,710] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:40,743] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30091 | Distance:  141.18 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:40,785] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30085 | Distance:   55.48 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,826] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30069 | Distance:   64.73 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:40,860] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30057 | Distance:   47.75 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:40,911] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30100 | Distance:   95.36 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:40,980] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30080 | Distance:  136.01 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:41,010] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30067 | Distance:  134.38 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:41,055] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30077 | Distance:  148.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:41,599] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:42,216] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30113 | Distance:   77.17 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:43,323] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:43,761] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:43,929] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30117 | Distance:   61.58 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:38:44,642] [INFO] Phase: COMMIT | Receiver: 30116 | Sender: 30086 | Distance:   15.89 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:52,382] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30076 | Distance:  124.20 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:52,384] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:53,061] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30044 | Distance:  113.77 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:53,061] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:54,222] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30087 | Distance:   87.15 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:54,222] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:54,445] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30066 | Distance:  149.93 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:54,447] [INFO] PREPARE: Missing PRE-PREPARE for REQUEST 1742441929729
[2025-03-20 12:38:54,530] [INFO] Phase: PRE-PREPARE | Receiver: 30116 | Sender: 30024 | Distance:   78.95 m | Delay: 0.4662s | Size: 16782176 bit
[2025-03-20 12:38:54,553] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30116 | Distance:   78.95 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:38:55,084] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30082 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:55,100] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30116 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:39:04,672] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30074 | Distance:   92.98 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:39:04,890] [INFO] Phase: PREPARE | Receiver: 30116 | Sender: 30029 | Distance:   42.48 m | Delay: 0.3107s | Size: 16778992 bit
