[2025-03-20 12:38:08,735] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30020 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778160 bit
[2025-03-20 12:38:08,775] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30039 | Distance:   64.18 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:08,822] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30093 | Distance:   43.40 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:08,891] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30059 | Distance:   47.73 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:38:08,929] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30054 | Distance:   45.15 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:09,691] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:09,778] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30064 | Distance:  102.37 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:09,814] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30008 | Distance:  151.31 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:38:09,855] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30009 | Distance:   49.61 m | Delay: 0.3107s | Size: 16778984 bit
[2025-03-20 12:38:09,893] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30001 | Distance:   52.29 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:09,938] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30006 | Distance:   99.73 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:09,978] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30114 | Distance:  147.03 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,037] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30045 | Distance:  130.31 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:38:10,074] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30078 | Distance:   76.87 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:10,128] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:38:10,169] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30015 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,183] [INFO] Phase: PRE-REPLY | Receiver: 30022 | Sender: 30020 | Distance:   61.46 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:38:10,256] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30032 | Distance:  119.36 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,297] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30099 | Distance:   88.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,353] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30060 | Distance:   93.38 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,400] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,444] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30111 | Distance:   33.82 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:10,499] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30052 | Distance:   86.28 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,544] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30094 | Distance:   42.30 m | Delay: 0.3107s | Size: 16778992 bit
[2025-03-20 12:38:10,574] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30088 | Distance:  102.65 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,610] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30099 | Distance:   88.80 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,647] [INFO] Phase: PREPARE | Receiver: 30020 | Sender: 30110 | Distance:  146.25 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:38:10,689] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30110 | Distance:  146.25 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:38:10,728] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30052 | Distance:   86.28 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:38:10,774] [INFO] Phase: COMMIT | Receiver: 30020 | Sender: 30018 | Distance:  126.98 m | Delay: 0.6991s | Size: 16779000 bit
