[2025-03-20 12:06:08,759] [INFO] Random node started: localhost:30015 | index= 16 | f=1, k=4
[2025-03-20 12:16:59,595] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,703] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:16:59,711] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30015 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:16:59,789] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:59,801] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:16:59,824] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,846] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:16:59,929] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:16:59,959] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:00,186] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30032 | Distance:  157.87 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:17:07,425] [INFO] Phase: PRE-PREPARE | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6992s | Size: 16781080 bit
[2025-03-20 12:17:07,425] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:  130.62 m | Delay: 0.6992s | Size: 16778160 bit
[2025-03-20 12:17:07,740] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:07,744] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30015 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:07,844] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,301] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30027 | Distance:   82.58 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,337] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:08,358] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30000 | Distance:  151.52 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:17:08,386] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,521] [INFO] Phase: PREPARE | Receiver: 30015 | Sender: 30010 | Distance:  116.24 m | Delay: 0.6991s | Size: 16778976 bit
[2025-03-20 12:17:08,568] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30011 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:17:08,577] [INFO] Phase: PRE-REPLY | Receiver: 30014 | Sender: 30015 | Distance:   82.67 m | Delay: 0.4661s | Size: 16778160 bit
[2025-03-20 12:17:08,648] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30009 | Distance:  133.33 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,664] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30035 | Distance:  130.62 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:17:08,719] [INFO] Phase: COMMIT | Receiver: 30015 | Sender: 30006 | Distance:  174.27 m | Delay: 0.9322s | Size: 16779000 bit
