[2025-03-20 12:39:45,674] [INFO] Node started: localhost:30060 | index= 61 | f=1, k=4
[2025-03-20 12:40:42,002] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,030] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:42,059] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,087] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:42,117] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:42,155] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,184] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:42,220] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:40:42,252] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,615] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:42,641] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,667] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:42,692] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,720] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:40:42,749] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:42,773] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30044 | Distance:   45.83 m | Delay: 0.3107s | Size: 16779000 bit
[2025-03-20 12:40:42,813] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:42,835] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:42,862] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:40:46,797] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:48,832] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:40:49,127] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:49,268] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:40:49,291] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,313] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:49,413] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:49,438] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:49,464] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,496] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:49,520] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:51,270] [INFO] Phase: COMMIT | Receiver: 30060 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:41:00,655] [INFO] Phase: PRE-PREPARE | Receiver: 30060 | Sender: 30119 | Distance:   72.70 m | Delay: 0.4662s | Size: 16782168 bit
[2025-03-20 12:41:00,835] [INFO] Phase: PREPARE-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:   72.70 m | Delay: 0.4662s | Size: 16778160 bit
[2025-03-20 12:41:05,534] [INFO] Phase: PREPARE | Receiver: 30060 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:41:05,546] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30060 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778160 bit
