[2025-03-20 12:41:08,994] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30082 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:41:09,033] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30057 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:41:09,043] [INFO] Phase: PRE-REPLY | Receiver: 30047 | Sender: 30119 | Distance:   75.75 m | Delay: 0.4661s | Size: 16778152 bit
[2025-03-20 12:41:09,083] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30101 | Distance:  117.71 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:09,104] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:09,145] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
[2025-03-20 12:41:09,447] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:41:09,518] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30069 | Distance:  113.16 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:41:09,637] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:41:09,677] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30052 | Distance:   63.19 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:09,718] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:09,744] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:09,785] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30091 | Distance:   68.64 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:10,084] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:10,752] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30095 | Distance:   51.61 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:41:10,841] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:41:10,914] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30079 | Distance:  179.20 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:10,948] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:11,076] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30054 | Distance:   51.32 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:11,333] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30118 | Distance:   67.45 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:11,659] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30056 | Distance:  172.69 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:11,689] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30042 | Distance:   87.69 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:11,721] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30000 | Distance:   79.59 m | Delay: 0.4661s | Size: 16778976 bit
[2025-03-20 12:41:11,960] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30112 | Distance:  142.17 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:41:12,181] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30041 | Distance:  193.84 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:12,410] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30001 | Distance:   95.79 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:12,896] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30093 | Distance:   52.81 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:13,072] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30049 | Distance:  153.53 m | Delay: 0.9322s | Size: 16778984 bit
[2025-03-20 12:41:13,297] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30075 | Distance:  179.99 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:41:13,477] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30027 | Distance:  112.45 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:14,163] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30084 | Distance:  111.47 m | Delay: 0.6991s | Size: 16778984 bit
[2025-03-20 12:41:14,258] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30106 | Distance:  113.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:14,294] [INFO] Phase: PREPARE | Receiver: 30119 | Sender: 30072 | Distance:  150.62 m | Delay: 0.0000s | Size: 16778992 bit
[2025-03-20 12:41:14,328] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30012 | Distance:  156.61 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:41:14,371] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30033 | Distance:  168.38 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:14,407] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30060 | Distance:   93.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:14,436] [INFO] Phase: COMMIT | Receiver: 30119 | Sender: 30104 | Distance:   97.63 m | Delay: 0.4661s | Size: 16778984 bit
