[2025-03-20 12:40:51,349] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30010 | Distance:  128.51 m | Delay: 0.6991s | Size: 16778992 bit
[2025-03-20 12:40:51,380] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30034 | Distance:   55.48 m | Delay: 0.4661s | Size: 16779000 bit
[2025-03-20 12:40:51,415] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:51,447] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30105 | Distance:  104.82 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:51,548] [INFO] Phase: COMMIT | Receiver: 30076 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16778992 bit
[2025-03-20 12:40:58,349] [INFO] Phase: PRE-REQUEST-FWD | Receiver: 30076 | Sender: 20001 | Distance:    0.00 m | Delay: N/A | Size: 16782536 bit
[2025-03-20 12:40:58,364] [INFO] Phase: PRE-PREPARE | Receiver: ALL | Sender: 30076 | Distance:    0.00 m | Delay: N/A | Size: 16781360 bit
[2025-03-20 12:40:59,268] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30094 | Distance:   94.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:40:59,511] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30024 | Distance:  123.14 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:40:59,525] [INFO] Phase: COMMIT-BROADCAST | Receiver: ALL | Sender: 30076 | Distance:  123.14 m | Delay: 0.6991s | Size: 16778160 bit
[2025-03-20 12:41:00,111] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30115 | Distance:  127.47 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:00,145] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30030 | Distance:   66.08 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:00,177] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30107 | Distance:  143.57 m | Delay: 0.6991s | Size: 16779000 bit
[2025-03-20 12:41:00,400] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30020 | Distance:   96.56 m | Delay: 0.4661s | Size: 16778992 bit
[2025-03-20 12:41:00,873] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30086 | Distance:  153.09 m | Delay: 0.9322s | Size: 16779000 bit
[2025-03-20 12:41:00,966] [INFO] Phase: PREPARE | Receiver: 30076 | Sender: 30003 | Distance:   89.31 m | Delay: 0.4661s | Size: 16778992 bit
