[2025-03-20 12:41:57,961] [INFO] [Node_116] Starting node at localhost:30115 | index=116 | f=1, k=4
[2025-03-20 12:42:40,715] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30043, delay:0.6991s, distance:0106.40m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:40,757] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30119, delay:0.4661s, distance:0054.94m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:40,934] [INFO] [Node_116] Cleaned up 1 finished statuses
[2025-03-20 12:42:41,166] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30036, delay:0.6991s, distance:0139.26m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:41,439] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30001, delay:0.6991s, distance:0108.98m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:42,217] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30069, delay:0.4661s, distance:0083.72m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:42,603] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30118, delay:0.4661s, distance:0086.68m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:42,900] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30064, delay:0.0000s, distance:0050.68m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:45,157] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30046, delay:0.6991s, distance:0126.50m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:45,719] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30017, delay:0.9322s, distance:0160.67m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:47,538] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30108, delay:0.6991s, distance:0128.97m (Euclidean), mes_siz_bit:16778864
[2025-03-20 12:42:47,556] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30032, delay:0.4661s, distance:0072.01m (Euclidean), mes_siz_bit:16778848
[2025-03-20 12:42:47,769] [INFO] [Node_116] Received COMMIT: id:1742442121036, from:30069, delay:0.4661s, distance:0083.72m (Euclidean), mes_siz_bit:16778856
[2025-03-20 12:42:47,937] [INFO] [Node_116] Received PREPARE: id:1742442121036, from:30107, delay:0.4661s, distance:0068.30m (Euclidean), mes_siz_bit:16778864
