[2025-03-19 11:51:39,539] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:51:39,597] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:51:47,657] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:51:47,689] [INFO] Prewarm connections completed.
[2025-03-19 11:51:47,689] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:51:47,689] [INFO] [CLIENT] >> REQUEST 1742352707689 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:53:54,460] [INFO] PBFT Scenario: f=1, k=4 | Role: CLIENT
[2025-03-19 11:53:54,460] [INFO] Waiting for /start-protocol trigger (use curl to start consensus)...
[2025-03-19 11:54:02,973] [INFO] [][][][][][]============> /start-protocol request received: Starting consensus rounds
[2025-03-19 11:54:02,990] [INFO] Prewarm connections completed.
[2025-03-19 11:54:02,990] [INFO] Starting warm-up round to stabilize connections...
[2025-03-19 11:54:02,990] [INFO] [CLIENT] >> REQUEST 1742352842990 ¡æ Leader(30000) with dumped data size
[2025-03-19 11:54:04,071] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0634122, 'sender': 30026, 'simulated_delay': 3.733333333333333e-05, 'distance': 149.0114242211624, 'message_size_bits': 896}
[2025-03-19 11:54:04,073] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0634122, 'sender': 30035, 'simulated_delay': 2.488888888888889e-05, 'distance': 99.99719792290568, 'message_size_bits': 896}
[2025-03-19 11:54:04,075] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0654173, 'sender': 30027, 'simulated_delay': 3.733333333333333e-05, 'distance': 149.64691557498273, 'message_size_bits': 896}
[2025-03-19 11:54:04,077] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0654173, 'sender': 30023, 'simulated_delay': 0, 'distance': 100.58538555127672, 'message_size_bits': 896}
[2025-03-19 11:54:04,077] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0674238, 'sender': 30011, 'simulated_delay': 7.466666666666666e-05, 'distance': 203.9945679835668, 'message_size_bits': 896}
[2025-03-19 11:54:04,077] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0634122, 'sender': 30014, 'simulated_delay': 4.977777777777778e-05, 'distance': 160.66510319099135, 'message_size_bits': 896}
[2025-03-19 11:54:04,079] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0674238, 'sender': 30017, 'simulated_delay': 4.977777777777778e-05, 'distance': 182.8833881602916, 'message_size_bits': 896}
[2025-03-19 11:54:04,081] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0674238, 'sender': 30010, 'simulated_delay': 4.977777777777778e-05, 'distance': 157.14597147078004, 'message_size_bits': 896}
[2025-03-19 11:54:04,083] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0674238, 'sender': 30022, 'simulated_delay': 7.466666666666666e-05, 'distance': 247.0850635832224, 'message_size_bits': 896}
[2025-03-19 11:54:04,087] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0714366, 'sender': 30013, 'simulated_delay': 4.977777777777778e-05, 'distance': 175.8297351117617, 'message_size_bits': 896}
[2025-03-19 11:54:04,087] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0654173, 'sender': 30038, 'simulated_delay': 4.977777777777778e-05, 'distance': 165.1228423270262, 'message_size_bits': 896}
[2025-03-19 11:54:04,099] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0734417, 'sender': 30009, 'simulated_delay': 3.733333333333333e-05, 'distance': 110.17902905836758, 'message_size_bits': 896}
[2025-03-19 11:54:04,099] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.075447, 'sender': 30028, 'simulated_delay': 3.7e-05, 'distance': 147.25108556688028, 'message_size_bits': 888}
[2025-03-19 11:54:04,099] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0616658, 'sender': 30018, 'simulated_delay': 4.977777777777778e-05, 'distance': 194.57244543491737, 'message_size_bits': 896}
[2025-03-19 11:54:04,101] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0694292, 'sender': 30029, 'simulated_delay': 2.488888888888889e-05, 'distance': 65.0717853957486, 'message_size_bits': 896}
[2025-03-19 11:54:04,103] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0714366, 'sender': 30020, 'simulated_delay': 4.977777777777778e-05, 'distance': 186.287534661587, 'message_size_bits': 896}
[2025-03-19 11:54:04,103] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0714366, 'sender': 30037, 'simulated_delay': 3.733333333333333e-05, 'distance': 148.5953321076336, 'message_size_bits': 896}
[2025-03-19 11:54:04,107] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.0892353, 'sender': 30021, 'simulated_delay': 3.733333333333333e-05, 'distance': 143.20032366534082, 'message_size_bits': 896}
[2025-03-19 11:54:04,109] [INFO] [CLIENT] REPLY: {'request_id': 1742352843719, 'data': 'message_1742352843719', 'timestamp': 1742352844.075447, 'sender': 30002, 'simulated_delay': 3.7e-05, 'distance': 115.35368012319826, 'message_size_bits': 888}
